# model: resnet.ResNetLike
# weights: resnet_cat_20250723_204907.pt
feature,Abyssinian_123,Bengal_127,Bengal_99,Birman_11,Bombay_20,British_Shorthair_68,Egyptian_Mau_108,Egyptian_Mau_163,Maine_Coon_24,Persian_104,Ragdoll_40,Ragdoll_93,Russian_Blue_170,Siamese_198,Sphynx_107,Sphynx_9
feat000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
feat001,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
feat002,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
feat003,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
feat004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
feat005,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
feat006,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
feat007,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
feat008,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
feat009,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
feat010,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
feat011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
feat012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
feat013,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
feat014,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
feat015,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
feat016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
feat017,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
feat018,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
feat019,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
feat020,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
feat021,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
feat022,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
feat023,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
feat024,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
feat025,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
feat026,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
feat027,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
feat028,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
feat029,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
feat030,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
feat031,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
feat032,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
feat033,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
feat034,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
feat035,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
feat036,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
feat037,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
feat038,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
feat039,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
feat040,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
feat041,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
feat042,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1
feat043,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
feat044,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
feat045,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
feat046,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
feat047,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
feat048,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1
feat049,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
feat050,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
feat051,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
feat052,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1
feat053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
feat054,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
feat055,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1
feat056,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
feat057,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
feat058,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
feat059,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
feat060,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
feat061,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0
feat062,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
feat063,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
